Period$_b$      	       10.9165203602 +         0.0003247020 -         0.0003686296 
T$_0,$$_b$      	       55.0810671225 +         0.0016097751 -         0.0017566043 
$\sqrt{e}\cos \omega$$_b$	       -0.2355366489 +         0.0009375282 -         0.0009716579 
$\sqrt{e}\sin \omega$$_b$	        0.0064452798 +         0.0063780752 -         0.0080183171 
i$_b$           	       91.2707233703 +         0.3205536682 -         0.3702861897 
$\Omega$$_b$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_b$  	        0.0282051950 +         0.0110965465 -         0.0101668017 
R$_p$/R$_s$$_b$ 	        0.0355560215 +         0.0005552717 -         0.0006032062 
Period$_c$      	       22.2648715083 +         0.0022191445 -         0.0019151210 
T$_0,$$_c$      	       61.3708160985 +         0.0617359161 -         0.0773387552 
$\sqrt{e}\cos \omega$$_c$	        0.2391524449 +         0.0020742035 -         0.0026458384 
$\sqrt{e}\sin \omega$$_c$	       -0.0076173069 +         0.0100320912 -         0.0077817277 
i$_c$           	       93.2457534028 +         1.4826529072 -         1.4584006476 
$\Omega$$_c$    	       -0.1535104409 +         0.3501965470 -         0.5126514753 
M$_{jup,}$$_c$  	        0.6300880253 +         0.0254955546 -         0.0247713705 
R$_p$/R$_s$$_c$ 	        0.1000000000 +         0.0000000000 -         0.0000000000 
Period$_d$      	     1438.5656363929 +       147.4706797925 -        89.8722709759 
T$_0,$$_d$      	     1291.4992154456 +       106.2867374149 -       165.5057651574 
$\sqrt{e}\cos \omega$$_d$	        0.6618862142 +         0.0744684338 -         0.0954760997 
$\sqrt{e}\sin \omega$$_d$	        0.0630977664 +         0.1887052738 -         0.1461842709 
i$_d$           	       89.0000000000 +         0.0000000000 -         0.0000000000 
$\Omega$$_d$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_d$  	        2.9178892224 +         0.4827111860 -         0.4851118315 
R$_p$/R$_s$$_d$ 	        0.1000000000 +         0.0000000000 -         0.0000000000 
M$_s$           	        0.9247977315 +         0.0386890224 -         0.0349361877 
R$_s$           	        0.9211426399 +         0.0582115085 -         0.0517013111 
c$_1$           	        0.3896610069 +         0.1880659577 -         0.2478479052 
c$_2$           	        0.2899444938 +         0.3602861696 -         0.2755974356 
dilute          	        0.0000000000 +         0.0000000000 -         0.0000000000 
$\sigma$$_b$    	        7.0261603737 +         3.5972624279 -         2.1558515210 
$\sigma$$_c$    	        8.1822607819 +        18.5050102703 -         8.1562131081 
Period$_b$      	       10.9165203602 +         0.0003247020 -         0.0003686296 
T$_0,$$_b$      	       55.0810671225 +         0.0016097751 -         0.0017566043 
$\sqrt{e}\cos \omega$$_b$	       -0.2355366489 +         0.0009375282 -         0.0009716579 
$\sqrt{e}\sin \omega$$_b$	        0.0064452798 +         0.0063780752 -         0.0080183171 
i$_b$           	       91.2707233703 +         0.3205536682 -         0.3702861897 
$\Omega$$_b$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_b$  	        0.0282051950 +         0.0110965465 -         0.0101668017 
R$_p$/R$_s$$_b$ 	        0.0355560215 +         0.0005552717 -         0.0006032062 
Period$_c$      	       22.2648715083 +         0.0022191445 -         0.0019151210 
T$_0,$$_c$      	       61.3708160985 +         0.0617359161 -         0.0773387552 
$\sqrt{e}\cos \omega$$_c$	        0.2391524449 +         0.0020742035 -         0.0026458384 
$\sqrt{e}\sin \omega$$_c$	       -0.0076173069 +         0.0100320912 -         0.0077817277 
i$_c$           	       93.2457534028 +         1.4826529072 -         1.4584006476 
$\Omega$$_c$    	       -0.1535104409 +         0.3501965470 -         0.5126514753 
M$_{jup,}$$_c$  	        0.6300880253 +         0.0254955546 -         0.0247713705 
R$_p$/R$_s$$_c$ 	        0.1000000000 +         0.0000000000 -         0.0000000000 
Period$_d$      	     1438.5656363929 +       147.4706797925 -        89.8722709759 
T$_0,$$_d$      	     1291.4992154456 +       106.2867374149 -       165.5057651574 
$\sqrt{e}\cos \omega$$_d$	        0.6618862142 +         0.0744684338 -         0.0954760997 
$\sqrt{e}\sin \omega$$_d$	        0.0630977664 +         0.1887052738 -         0.1461842709 
i$_d$           	       89.0000000000 +         0.0000000000 -         0.0000000000 
$\Omega$$_d$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_d$  	        2.9178892224 +         0.4827111860 -         0.4851118315 
R$_p$/R$_s$$_d$ 	        0.1000000000 +         0.0000000000 -         0.0000000000 
M$_s$           	        0.9247977315 +         0.0386890224 -         0.0349361877 
R$_s$           	        0.9211426399 +         0.0582115085 -         0.0517013111 
c$_1$           	        0.3896610069 +         0.1880659577 -         0.2478479052 
c$_2$           	        0.2899444938 +         0.3602861696 -         0.2755974356 
dilute          	        0.0000000000 +         0.0000000000 -         0.0000000000 
$\sigma$$_b$    	        7.0261603737 +         3.5972624279 -         2.1558515210 
$\sigma$$_c$    	        8.1822607819 +        18.5050102703 -         8.1562131081 
M$_b$           	        8.9643890174 +         3.5267885591 -         3.2312900357 
M$_c$           	      200.2593553641 +         8.1031905312 -         7.8730248547 
M$_d$           	      927.3856845415 +       153.4189304311 -       154.1819218082 
R$_b$           	        3.5713826366 +         0.2747307718 -         0.2473483499 
R$_c$           	       10.0440806884 +         0.6347345816 -         0.5637478042 
R$_d$           	       10.0440806884 +         0.6347345816 -         0.5637478042 
$\rho$$_b$      	        1.0868430439 +         0.4664109273 -         0.4136700551 
$\rho$$_c$      	        1.0894673780 +         0.2090399924 -         0.1775702338 
$\rho$$_d$      	        5.0550499967 +         1.3213732983 -         1.0565039327 
$e_b$           	        0.0555191136 +         0.0004258875 -         0.0003337881 
$e_c$           	        0.0572623738 +         0.0009382344 -         0.0012794759 
$e_d$           	        0.4446310899 +         0.0988680109 -         0.1046434267 
