Period$_b$      	       10.9165082224 +         0.0004992008 -         0.0003553430 
T$_0,$$_b$      	       55.0810447297 +         0.0017868385 -         0.0018181918 
$\sqrt{e}\cos \omega$$_b$	       -0.2355377952 +         0.0011876078 -         0.0009531546 
$\sqrt{e}\sin \omega$$_b$	        0.0062489192 +         0.0092719030 -         0.0076255850 
i$_b$           	       91.2591221544 +         0.3131788740 -         0.3940885519 
$\Omega$$_b$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_b$  	        0.0280469280 +         0.0103967605 -         0.0104442430 
R$_p$/R$_s$$_b$ 	        0.0355401259 +         0.0005940965 -         0.0006042794 
Period$_c$      	       22.2648275714 +         0.0021758307 -         0.0020652960 
T$_0,$$_c$      	       61.3689845519 +         0.0855800220 -         0.0739522662 
$\sqrt{e}\cos \omega$$_c$	        0.2392877555 +         0.0019793509 -         0.0036069603 
$\sqrt{e}\sin \omega$$_c$	       -0.0073427689 +         0.0094129919 -         0.0114524886 
i$_c$           	       93.1027676178 +         1.8969353152 -         1.3261305688 
$\Omega$$_c$    	       -0.1807332683 +         0.4071456828 -         0.5154014311 
M$_{jup,}$$_c$  	        0.6309449161 +         0.0280255952 -         0.0275341897 
R$_p$/R$_s$$_c$ 	        0.1000000000 +         0.0000000000 -         0.0000000000 
Period$_d$      	     1478.8784051223 +      3097.5500749995 -       154.9342755861 
T$_0,$$_d$      	     1253.3914157605 +       178.5013995549 -      3108.8670007017 
$\sqrt{e}\cos \omega$$_d$	        0.6706220214 +         0.2151427330 -         0.1645674362 
$\sqrt{e}\sin \omega$$_d$	        0.0741895654 +         0.2439019954 -         0.2043360287 
i$_d$           	       89.0000000000 +         0.0000000000 -         0.0000000000 
$\Omega$$_d$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_d$  	        2.9164049815 +         0.9893089648 -         0.5484909693 
R$_p$/R$_s$$_d$ 	        0.1000000000 +         0.0000000000 -         0.0000000000 
M$_s$           	        0.9265243374 +         0.0385018119 -         0.0380153670 
R$_s$           	        0.9197336177 +         0.0561319434 -         0.0554996137 
c$_1$           	        0.3892578295 +         0.1912217378 -         0.2243772186 
c$_2$           	        0.2907535254 +         0.3327113501 -         0.2749168594 
dilute          	        0.0000000000 +         0.0000000000 -         0.0000000000 
$\sigma$$_b$    	        7.2824104596 +         4.0470927640 -         2.4336219433 
$\sigma$$_c$    	        8.8984154982 +        24.2315200473 -         8.8627893531 
Period$_b$      	       10.9165082224 +         0.0004992008 -         0.0003553430 
T$_0,$$_b$      	       55.0810447297 +         0.0017868385 -         0.0018181918 
$\sqrt{e}\cos \omega$$_b$	       -0.2355377952 +         0.0011876078 -         0.0009531546 
$\sqrt{e}\sin \omega$$_b$	        0.0062489192 +         0.0092719030 -         0.0076255850 
i$_b$           	       91.2591221544 +         0.3131788740 -         0.3940885519 
$\Omega$$_b$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_b$  	        0.0280469280 +         0.0103967605 -         0.0104442430 
R$_p$/R$_s$$_b$ 	        0.0355401259 +         0.0005940965 -         0.0006042794 
Period$_c$      	       22.2648275714 +         0.0021758307 -         0.0020652960 
T$_0,$$_c$      	       61.3689845519 +         0.0855800220 -         0.0739522662 
$\sqrt{e}\cos \omega$$_c$	        0.2392877555 +         0.0019793509 -         0.0036069603 
$\sqrt{e}\sin \omega$$_c$	       -0.0073427689 +         0.0094129919 -         0.0114524886 
i$_c$           	       93.1027676178 +         1.8969353152 -         1.3261305688 
$\Omega$$_c$    	       -0.1807332683 +         0.4071456828 -         0.5154014311 
M$_{jup,}$$_c$  	        0.6309449161 +         0.0280255952 -         0.0275341897 
R$_p$/R$_s$$_c$ 	        0.1000000000 +         0.0000000000 -         0.0000000000 
Period$_d$      	     1478.8784051223 +      3097.5500749995 -       154.9342755861 
T$_0,$$_d$      	     1253.3914157605 +       178.5013995549 -      3108.8670007017 
$\sqrt{e}\cos \omega$$_d$	        0.6706220214 +         0.2151427330 -         0.1645674362 
$\sqrt{e}\sin \omega$$_d$	        0.0741895654 +         0.2439019954 -         0.2043360287 
i$_d$           	       89.0000000000 +         0.0000000000 -         0.0000000000 
$\Omega$$_d$    	        0.0000000000 +         0.0000000000 -         0.0000000000 
M$_{jup,}$$_d$  	        2.9164049815 +         0.9893089648 -         0.5484909693 
R$_p$/R$_s$$_d$ 	        0.1000000000 +         0.0000000000 -         0.0000000000 
M$_s$           	        0.9265243374 +         0.0385018119 -         0.0380153670 
R$_s$           	        0.9197336177 +         0.0561319434 -         0.0554996137 
c$_1$           	        0.3892578295 +         0.1912217378 -         0.2243772186 
c$_2$           	        0.2907535254 +         0.3327113501 -         0.2749168594 
dilute          	        0.0000000000 +         0.0000000000 -         0.0000000000 
$\sigma$$_b$    	        7.2824104596 +         4.0470927640 -         2.4336219433 
$\sigma$$_c$    	        8.8984154982 +        24.2315200473 -         8.8627893531 
M$_b$           	        8.9140873778 +         3.3043772676 -         3.3194685236 
M$_c$           	      200.5316988853 +         8.9073072286 -         8.7511250053 
M$_d$           	      926.9139518330 +       314.4296789946 -       174.3255600995 
R$_b$           	        3.5641466863 +         0.2698639040 -         0.2638031586 
R$_c$           	       10.0287167996 +         0.6120591365 -         0.6051642538 
R$_d$           	       10.0287167996 +         0.6120591365 -         0.6051642538 
$\rho$$_b$      	        1.0855714450 +         0.4829139351 -         0.4298100067 
$\rho$$_c$      	        1.0959389034 +         0.2247566407 -         0.1761637794 
$\rho$$_d$      	        5.0724773954 +         1.9851207088 -         1.2027090168 
$e_b$           	        0.0555190846 +         0.0004187563 -         0.0004049536 
$e_c$           	        0.0573223240 +         0.0009145357 -         0.0015864799 
$e_d$           	        0.4588794484 +         0.3282463476 -         0.1800227010 
